COGid	FunCat	Funk	Species	Genes	Alg.-Conn.	BGE	BGIGA	BOR	BPAA	BPLAN	CPUbr	MADAR
COG0542	O	ATP-dependent_Clp_protease_ATP-binding_subunit_ClpA	6	6	0.862	BGE:CDS:BGE_I00620	BGIGA:CDS:BGIGA_I05660	BOR:CDS:BOR_I00640	BPAA:CDS:BPAA_I05700	BPLAN:CDS:BPLAN_I05780	*	MADAR:CDS:MADAR_I05370
COG1186	J	Protein_chain_release_factor_B	7	7	0.781	BGE:CDS:BGE_I00610	BGIGA:CDS:BGIGA_I05670	BOR:CDS:BOR_I00630	BPAA:CDS:BPAA_I05710	BPLAN:CDS:BPLAN_I05790	CPUbr:CDS:CPUbr_I00600	MADAR:CDS:MADAR_I05380
COG0019	E	Diaminopimelate_decarboxylase	7	7	0.900	BGE:CDS:BGE_I00600	BGIGA:CDS:BGIGA_I05680	BOR:CDS:BOR_I00620	BPAA:CDS:BPAA_I05720	BPLAN:CDS:BPLAN_I05800	CPUbr:CDS:CPUbr_I00590	MADAR:CDS:MADAR_I05390
COG0010	E	Arginase_family_enzyme	7	7	0.834	BGE:CDS:BGE_I00590	BGIGA:CDS:BGIGA_I05690	BOR:CDS:BOR_I00610	BPAA:CDS:BPAA_I05730	BPLAN:CDS:BPLAN_I05810	CPUbr:CDS:CPUbr_I00580	MADAR:CDS:MADAR_I05400
COG0520	E	Selenocysteine_lyase/Cysteine_desulfurase	7	7	0.818	BGE:CDS:BGE_I00250	BGIGA:CDS:BGIGA_I06020	BOR:CDS:BOR_I00270	BPAA:CDS:BPAA_I06060	BPLAN:CDS:BPLAN_I06160	CPUbr:CDS:CPUbr_I00250	MADAR:CDS:MADAR_I05720
COG1028	IQR	NAD(P)-dependent_dehydrogenase,_short-chain_alcohol_dehydrogenase_family	7	7	0.791	BGE:CDS:BGE_I00570	BGIGA:CDS:BGIGA_I05710	BOR:CDS:BOR_I00590	BPAA:CDS:BPAA_I05750	BPLAN:CDS:BPLAN_I05830	CPUbr:CDS:CPUbr_I00560	MADAR:CDS:MADAR_I05420
COG1165	H	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate_synthase	7	7	0.757	BGE:CDS:BGE_I00560	BGIGA:CDS:BGIGA_I05720	BOR:CDS:BOR_I00580	BPAA:CDS:BPAA_I05760	BPLAN:CDS:BPLAN_I05840	CPUbr:CDS:CPUbr_I00550	MADAR:CDS:MADAR_I05430
COG2949	M	Uncharacterized_periplasmic_protein_SanA,_affects_membrane_permeability_for_vancomycin	7	7	0.830	BGE:CDS:BGE_I00550	BGIGA:CDS:BGIGA_I05730	BOR:CDS:BOR_I00570	BPAA:CDS:BPAA_I05770	BPLAN:CDS:BPLAN_I05850	CPUbr:CDS:CPUbr_I00540	MADAR:CDS:MADAR_I05440
COG0653	U	Preprotein_translocase_subunit_SecA_(ATPase,_RNA_helicase)	7	7	0.830	BGE:CDS:BGE_I00540	BGIGA:CDS:BGIGA_I05740	BOR:CDS:BOR_I00560	BPAA:CDS:BPAA_I05780	BPLAN:CDS:BPLAN_I05860	CPUbr:CDS:CPUbr_I00530	MADAR:CDS:MADAR_I05450
No-Hit	-	hypothetical	7	7	0.969	BGE:CDS:BGE_I00530	BGIGA:CDS:BGIGA_I05750	BOR:CDS:BOR_I00550	BPAA:CDS:BPAA_I05790	BPLAN:CDS:BPLAN_I05870	CPUbr:CDS:CPUbr_I00520	MADAR:CDS:MADAR_I05460
COG0223	J	Methionyl-tRNA_formyltransferase	7	7	0.742	BGE:CDS:BGE_I00520	BGIGA:CDS:BGIGA_I05760	BOR:CDS:BOR_I00540	BPAA:CDS:BPAA_I05800	BPLAN:CDS:BPLAN_I05880	CPUbr:CDS:CPUbr_I00510	MADAR:CDS:MADAR_I05470
COG0776	L	Bacterial_nucleoid_DNA-binding_protein	7	7	0.919	BGE:CDS:BGE_I00510	BGIGA:CDS:BGIGA_I05770	BOR:CDS:BOR_I00530	BPAA:CDS:BPAA_I05810	BPLAN:CDS:BPLAN_I05890	CPUbr:CDS:CPUbr_I00500	MADAR:CDS:MADAR_I05480
COG0259	H	Pyridoxine/pyridoxamine_5'-phosphate_oxidase	7	7	0.707	BGE:CDS:BGE_I00500	BGIGA:CDS:BGIGA_I05780	BOR:CDS:BOR_I00520	BPAA:CDS:BPAA_I05820	BPLAN:CDS:BPLAN_I05900	CPUbr:CDS:CPUbr_I00490	MADAR:CDS:MADAR_I05490
No-Hit	-	hypothetical	2	2	1.000	BGE:CDS:BGE_I05910	BGIGA:CDS:BGIGA_I00460	*	*	*	*	*
No-Hit	-	hypothetical	2	2	1.000	BGE:CDS:BGE_I05720	*	*	*	*	*	MADAR:CDS:MADAR_I02900
COG0730	S	Uncharacterized_membrane_protein_YfcA	2	2	1.000	BGE:CDS:BGE_I02800	*	*	*	*	*	MADAR:CDS:MADAR_I03310
COG0155	P	Sulfite_reductase,_beta_subunit_(hemoprotein)	2	2	1.000	BGE:CDS:BGE_I02780	*	*	*	*	*	MADAR:CDS:MADAR_I03320
COG2895	P	Sulfate_adenylyltransferase_subunit_1,_EFTu-like_GTPase_family	2	2	1.000	BGE:CDS:BGE_I02730	*	*	*	*	*	MADAR:CDS:MADAR_I03370
COG0175	EH	3'-phosphoadenosine_5'-phosphosulfate_sulfotransferase_(PAPS_reductase)/FAD_synthetase_or_related_enzyme	2	2	1.000	BGE:CDS:BGE_I02720	*	*	*	*	*	MADAR:CDS:MADAR_I03380
COG0175	EH	3'-phosphoadenosine_5'-phosphosulfate_sulfotransferase_(PAPS_reductase)/FAD_synthetase_or_related_enzyme	2	2	1.000	BGE:CDS:BGE_I02710	*	*	*	*	*	MADAR:CDS:MADAR_I03390
COG0538	C	Isocitrate_dehydrogenase	5	5	0.871	BGE:CDS:BGE_I02700	BGIGA:CDS:BGIGA_I03570	*	BPAA:CDS:BPAA_I03630	*	CPUbr:CDS:CPUbr_I02600	MADAR:CDS:MADAR_I03400
No-Hit	-	hypothetical	6	6	0.322	*	BGIGA:CDS:BGIGA_I01910	BOR:CDS:BOR_I04420	BPAA:CDS:BPAA_I01960	BPLAN:CDS:BPLAN_I01970	CPUbr:CDS:CPUbr_I04120	MADAR:CDS:MADAR_I01680
COG0372	C	Citrate_synthase	5	5	0.913	BGE:CDS:BGE_I05360	BGIGA:CDS:BGIGA_I00990	*	BPAA:CDS:BPAA_I00980	*	CPUbr:CDS:CPUbr_I05030	MADAR:CDS:MADAR_I02600
No-Hit	-	hypothetical	2	2	1.000	BGE:CDS:BGE_I00650	BGIGA:CDS:BGIGA_I05630	*	*	*	*	*
No-Hit	-	hypothetical	4	4	0.875	*	BGIGA:CDS:BGIGA_I04330	*	BPAA:CDS:BPAA_I04390	*	CPUbr:CDS:CPUbr_I01840	MADAR:CDS:MADAR_I04130
No-Hit	-	hypothetical	4	4	0.487	*	*	BOR:CDS:BOR_I02130	*	BPLAN:CDS:BPLAN_I04290	CPUbr:CDS:CPUbr_I02000	MADAR:CDS:MADAR_I03970
COG3239	I	Fatty_acid_desaturase	3	3	0.895	*	*	BOR:CDS:BOR_I01480	*	BPLAN:CDS:BPLAN_I04950	*	MADAR:CDS:MADAR_I04600
No-Hit	-	hypothetical	3	3	0.847	*	*	*	*	BPLAN:CDS:BPLAN_I06040	CPUbr:CDS:CPUbr_I00360	MADAR:CDS:MADAR_I05620
No-Hit	-	hypothetical	3	3	0.371	*	*	BOR:CDS:BOR_I02860	*	BPLAN:CDS:BPLAN_I03530	CPUbr:CDS:CPUbr_I02700	*
No-Hit	-	hypothetical	2	2	1.000	*	*	*	*	BPLAN:CDS:BPLAN_I01680	CPUbr:CDS:CPUbr_I04400	*
COG2249	R	Putative_NADPH-quinone_reductase_(modulator_of_drug_activity_B)	2	2	1.000	*	*	*	*	*	CPUbr:CDS:CPUbr_I05710	MADAR:CDS:MADAR_I00210
COG0854	H	Pyridoxine_5'-phosphate_synthase_PdxJ	7	7	0.789	BGE:CDS:BGE_I00150	BGIGA:CDS:BGIGA_I06120	BOR:CDS:BOR_I00180	BPAA:CDS:BPAA_I06160	BPLAN:CDS:BPLAN_I06250	CPUbr:CDS:CPUbr_I00160	MADAR:CDS:MADAR_I05820
COG0719	O	Fe-S_cluster_assembly_scaffold_protein_SufB	7	7	0.614	BGE:CDS:BGE_I00240	BGIGA:CDS:BGIGA_I06030	BOR:CDS:BOR_I00260	BPAA:CDS:BPAA_I06070	BPLAN:CDS:BPLAN_I06170	CPUbr:CDS:CPUbr_I00240	MADAR:CDS:MADAR_I05730
COG0396	O	Fe-S_cluster_assembly_ATPase_SufC	7	7	0.789	BGE:CDS:BGE_I00230	BGIGA:CDS:BGIGA_I06040	BOR:CDS:BOR_I00250	BPAA:CDS:BPAA_I06080	BPLAN:CDS:BPLAN_I06180	CPUbr:CDS:CPUbr_I00230	MADAR:CDS:MADAR_I05740
COG0719	O	Fe-S_cluster_assembly_scaffold_protein_SufB	7	7	0.817	BGE:CDS:BGE_I00220	BGIGA:CDS:BGIGA_I06050	BOR:CDS:BOR_I00240	BPAA:CDS:BPAA_I06090	BPLAN:CDS:BPLAN_I06190	CPUbr:CDS:CPUbr_I00220	MADAR:CDS:MADAR_I05750
COG0316	O	Fe-S_cluster_assembly_iron-binding_protein_IscA	7	7	0.802	BGE:CDS:BGE_I00210	BGIGA:CDS:BGIGA_I06060	BOR:CDS:BOR_I00230	BPAA:CDS:BPAA_I06100	BPLAN:CDS:BPLAN_I06200	CPUbr:CDS:CPUbr_I00210	MADAR:CDS:MADAR_I05760
COG1430	S	Uncharacterized_conserved_membrane_protein,_UPF0127_family	7	7	0.609	BGE:CDS:BGE_I00200	BGIGA:CDS:BGIGA_I06070	BOR:CDS:BOR_I00220	BPAA:CDS:BPAA_I06110	BPLAN:CDS:BPLAN_I06210	CPUbr:CDS:CPUbr_I00200	MADAR:CDS:MADAR_I05770
COG0682	M	Prolipoprotein_diacylglyceryltransferase	7	7	0.708	BGE:CDS:BGE_I00190	BGIGA:CDS:BGIGA_I06080	BOR:CDS:BOR_I00210	BPAA:CDS:BPAA_I06120	BPLAN:CDS:BPLAN_I06220	CPUbr:CDS:CPUbr_I00190	MADAR:CDS:MADAR_I05780
COG0759	M	Membrane-anchored_protein_YidD,_putatitve_component_of_membrane_protein_insertase_Oxa1/YidC/SpoIIIJ	7	7	0.622	BGE:CDS:BGE_I00180	BGIGA:CDS:BGIGA_I06090	BOR:CDS:BOR_I00200	BPAA:CDS:BPAA_I06130	BPLAN:CDS:BPLAN_I06230	CPUbr:CDS:CPUbr_I00180	MADAR:CDS:MADAR_I05790
COG0596	HR	Pimeloyl-ACP_methyl_ester_carboxylesterase	6	6	0.750	BGE:CDS:BGE_I00160	BGIGA:CDS:BGIGA_I06110	BOR:CDS:BOR_I00190	BPAA:CDS:BPAA_I06150	BPLAN:CDS:BPLAN_I06240	*	MADAR:CDS:MADAR_I05810
COG0066	E	3-isopropylmalate_dehydratase_small_subunit	5	5	0.795	BGE:CDS:BGE_I00690	BGIGA:CDS:BGIGA_I05590	BOR:CDS:BOR_I00700	BPAA:CDS:BPAA_I05640	BPLAN:CDS:BPLAN_I05720	*	*
COG0668	M	Small-conductance_mechanosensitive_channel	7	7	0.716	BGE:CDS:BGE_I00140	BGIGA:CDS:BGIGA_I06130	BOR:CDS:BOR_I00170	BPAA:CDS:BPAA_I06170	BPLAN:CDS:BPLAN_I06260	CPUbr:CDS:CPUbr_I00150	MADAR:CDS:MADAR_I05830
COG1136	M	ABC-type_lipoprotein_export_system,_ATPase_component	6	6	0.766	BGE:CDS:BGE_I05880	BGIGA:CDS:BGIGA_I00490	BOR:CDS:BOR_I05870	BPAA:CDS:BPAA_I00480	BPLAN:PPgene:BPLAN_I00480	CPUbr:PPgene:CPUbr_I05470	*
COG0072	J	Phenylalanyl-tRNA_synthetase_beta_subunit	7	7	0.607	BGE:CDS:BGE_I00470	BGIGA:CDS:BGIGA_I05810	BOR:CDS:BOR_I00490	BPAA:CDS:BPAA_I05850	BPLAN:PPgene:BPLAN_I05930	CPUbr:CDS:CPUbr_I00460	MADAR:CDS:MADAR_I05520
COG0756	FV	dUTPase	7	7	0.684	pBGE:CDS:BGE_II00030	pBGIBA:CDS:BGIGA_II00010	pBOR:CDS:BOR_II00030	BPAA:CDS:BPAA_I01310	pBPLAN:CDS:BPLAN_II00020	pCPUbr:CDS:CPUbr_II00040	pMADAR:CDS:MADAR_II00020
No-Hit	-	hypothetical	7	7	0.420	pBGE:CDS:BGE_II00040	pBGIBA:CDS:BGIGA_II00020	pBOR:CDS:BOR_II00040	BPAA:CDS:BPAA_I01320	pBPLAN:CDS:BPLAN_II00030	pCPUbr:CDS:CPUbr_II00030	pMADAR:CDS:MADAR_II00030
No-Hit	-	hypothetical	7	7	0.741	pBGE:CDS:BGE_II00050	pBGIBA:CDS:BGIGA_II00030	pBOR:CDS:BOR_II00050	BPAA:CDS:BPAA_I01330	pBPLAN:CDS:BPLAN_II00040	pCPUbr:CDS:CPUbr_II00020	pMADAR:CDS:MADAR_II00040
COG0208	F	Ribonucleotide_reductase_beta_subunit,_ferritin-like_domain	7	7	0.835	pBGE:CDS:BGE_II00060	pBGIBA:CDS:BGIGA_II00040	pBOR:CDS:BOR_II00060	BPAA:CDS:BPAA_I01340	pBPLAN:CDS:BPLAN_II00050	pCPUbr:CDS:CPUbr_II00010	pMADAR:CDS:MADAR_II00050
COG0328	L	Ribonuclease_HI	6	6	0.842	BGE:CDS:BGE_I05030	BGIGA:CDS:BGIGA_I01310	BOR:CDS:BOR_I05040	BPAA:CDS:BPAA_I01360	*	CPUbr:CDS:CPUbr_I04700	MADAR:CDS:MADAR_I02270
COG0017	J	Aspartyl/asparaginyl-tRNA_synthetase	7	7	0.783	BGE:CDS:BGE_I01180	BGIGA:CDS:BGIGA_I05100	BOR:CDS:BOR_I01190	BPAA:CDS:BPAA_I05160	BPLAN:CDS:BPLAN_I05240	CPUbr:CDS:CPUbr_I01100	MADAR:CDS:MADAR_I04890
COG1181	MR	D-alanine-D-alanine_ligase_and_related_ATP-grasp_enzymes	7	7	0.745	BGE:CDS:BGE_I01260	BGIGA:CDS:BGIGA_I05020	BOR:CDS:BOR_I01270	BPAA:CDS:BPAA_I05080	BPLAN:CDS:BPLAN_I05160	CPUbr:CDS:CPUbr_I01180	MADAR:CDS:MADAR_I04810
COG2815	M	PASTA_domain,_binds_beta-lactams	7	7	0.574	BGE:CDS:BGE_I01250	BGIGA:CDS:BGIGA_I05030	BOR:CDS:BOR_I01260	BPAA:CDS:BPAA_I05090	BPLAN:CDS:BPLAN_I05170	CPUbr:CDS:CPUbr_I01170	MADAR:CDS:MADAR_I04820
COG0564	J	Pseudouridylate_synthase,_23S_rRNA-_or_tRNA-specific	7	7	0.655	BGE:CDS:BGE_I01240	BGIGA:CDS:BGIGA_I05040	BOR:CDS:BOR_I01250	BPAA:CDS:BPAA_I05100	BPLAN:CDS:BPLAN_I05180	CPUbr:CDS:CPUbr_I01160	MADAR:CDS:MADAR_I04830
COG2239	P	Mg/Co/Ni_transporter_MgtE_(contains_CBS_domain)	7	7	0.793	BGE:CDS:BGE_I01230	BGIGA:CDS:BGIGA_I05050	BOR:CDS:BOR_I01240	BPAA:CDS:BPAA_I05110	BPLAN:CDS:BPLAN_I05190	CPUbr:CDS:CPUbr_I01150	MADAR:CDS:MADAR_I04840
COG0495	J	Leucyl-tRNA_synthetase	7	7	0.736	BGE:CDS:BGE_I01220	BGIGA:CDS:BGIGA_I05060	BOR:CDS:BOR_I01230	BPAA:CDS:BPAA_I05120	BPLAN:CDS:BPLAN_I05200	CPUbr:CDS:CPUbr_I01140	MADAR:CDS:MADAR_I04850
COG0334	E	Glutamate_dehydrogenase/leucine_dehydrogenase	7	7	0.910	BGE:CDS:BGE_I01210	BGIGA:CDS:BGIGA_I05070	BOR:CDS:BOR_I01220	BPAA:CDS:BPAA_I05130	BPLAN:CDS:BPLAN_I05210	CPUbr:CDS:CPUbr_I01130	MADAR:CDS:MADAR_I04860
COG0528	F	Uridylate_kinase	7	7	0.837	BGE:CDS:BGE_I01200	BGIGA:CDS:BGIGA_I05080	BOR:CDS:BOR_I01210	BPAA:CDS:BPAA_I05140	BPLAN:CDS:BPLAN_I05220	CPUbr:CDS:CPUbr_I01120	MADAR:CDS:MADAR_I04870
COG0233	J	Ribosome_recycling_factor	7	7	0.765	BGE:CDS:BGE_I01190	BGIGA:CDS:BGIGA_I05090	BOR:CDS:BOR_I01200	BPAA:CDS:BPAA_I05150	BPLAN:CDS:BPLAN_I05230	CPUbr:CDS:CPUbr_I01110	MADAR:CDS:MADAR_I04880
COG0370	P	Fe2+_transport_system_protein_B	7	7	0.739	BGE:CDS:BGE_I01270	BGIGA:CDS:BGIGA_I05010	BOR:CDS:BOR_I01280	BPAA:CDS:BPAA_I05070	BPLAN:CDS:BPLAN_I05150	CPUbr:CDS:CPUbr_I01190	MADAR:CDS:MADAR_I04800
COG1508	K	DNA-directed_RNA_polymerase_specialized_sigma_subunit,_sigma54_homolog	7	7	0.758	BGE:CDS:BGE_I01170	BGIGA:CDS:BGIGA_I05110	BOR:CDS:BOR_I01180	BPAA:CDS:BPAA_I05170	BPLAN:CDS:BPLAN_I05250	CPUbr:CDS:CPUbr_I01090	MADAR:CDS:MADAR_I04900
COG1012	C	Acyl-CoA_reductase_or_other_NAD-dependent_aldehyde_dehydrogenase	7	7	0.765	BGE:CDS:BGE_I01160	BGIGA:CDS:BGIGA_I05120	BOR:CDS:BOR_I01170	BPAA:CDS:BPAA_I05180	BPLAN:CDS:BPLAN_I05260	CPUbr:CDS:CPUbr_I01080	MADAR:CDS:MADAR_I04910
COG2166	O	Sulfur_transfer_protein_SufE,_Fe-S_center_assembly	7	7	0.668	BGE:CDS:BGE_I01150	BGIGA:CDS:BGIGA_I05130	BOR:CDS:BOR_I01160	BPAA:CDS:BPAA_I05190	BPLAN:CDS:BPLAN_I05270	CPUbr:CDS:CPUbr_I01070	MADAR:CDS:MADAR_I04920
COG0620	E	Methionine_synthase_II_(cobalamin-independent)	6	6	0.790	BGE:CDS:BGE_I01140	BGIGA:CDS:BGIGA_I05140	BOR:CDS:BOR_I01150	BPAA:CDS:BPAA_I05200	BPLAN:CDS:BPLAN_I05280	*	MADAR:CDS:MADAR_I04930
COG1208	JM	NDP-sugar_pyrophosphorylase,_includes_eIF-2Bgamma,_eIF-2Bepsilon,_and_LPS_biosynthesis_proteins	7	7	0.690	BGE:CDS:BGE_I01130	BGIGA:CDS:BGIGA_I05150	BOR:CDS:BOR_I01140	BPAA:CDS:BPAA_I05210	BPLAN:CDS:BPLAN_I05290	CPUbr:CDS:CPUbr_I01050	MADAR:CDS:MADAR_I04940
COG0254	J	Ribosomal_protein_L31	7	7	0.812	BGE:CDS:BGE_I01120	BGIGA:CDS:BGIGA_I05160	BOR:CDS:BOR_I01130	BPAA:CDS:BPAA_I05220	BPLAN:CDS:BPLAN_I05300	CPUbr:CDS:CPUbr_I01040	MADAR:CDS:MADAR_I04950
COG0332	I	3-oxoacyl-[acyl-carrier-protein]_synthase_III	7	7	0.837	BGE:CDS:BGE_I01110	BGIGA:CDS:BGIGA_I05170	BOR:CDS:BOR_I01120	BPAA:CDS:BPAA_I05230	BPLAN:CDS:BPLAN_I05310	CPUbr:CDS:CPUbr_I01030	MADAR:CDS:MADAR_I04960
COG2226	H	Ubiquinone/menaquinone_biosynthesis_C-methylase_UbiE	7	7	0.623	BGE:CDS:BGE_I01100	BGIGA:CDS:BGIGA_I05180	BOR:CDS:BOR_I01110	BPAA:CDS:BPAA_I05240	BPLAN:CDS:BPLAN_I05320	CPUbr:CDS:CPUbr_I01020	MADAR:PPgene:MADAR_I04970
No-Hit	-	hypothetical	7	7	0.721	BGE:CDS:BGE_I01360	BGIGA:CDS:BGIGA_I04920	BOR:CDS:BOR_I01380	BPAA:CDS:BPAA_I04980	BPLAN:CDS:BPLAN_I05050	CPUbr:CDS:CPUbr_I01280	MADAR:CDS:MADAR_I04700
No-Hit	-	hypothetical	7	7	0.683	BGE:CDS:BGE_I01450	BGIGA:CDS:BGIGA_I04830	BOR:CDS:BOR_I01470	BPAA:CDS:BPAA_I04890	BPLAN:CDS:BPLAN_I04960	CPUbr:CDS:CPUbr_I01360	MADAR:CDS:MADAR_I04610
No-Hit	-	hypothetical	6	6	0.663	BGE:CDS:BGE_I01440	BGIGA:CDS:BGIGA_I04840	BOR:CDS:BOR_I01460	BPAA:CDS:BPAA_I04900	BPLAN:CDS:BPLAN_I04970	*	MADAR:CDS:MADAR_I04620
COG0117	H	Pyrimidine_deaminase_domain_of_riboflavin_biosynthesis_protein_RibD	7	7	0.737	BGE:CDS:BGE_I01430	BGIGA:CDS:BGIGA_I04850	BOR:CDS:BOR_I01450	BPAA:CDS:BPAA_I04910	BPLAN:CDS:BPLAN_I04980	CPUbr:CDS:CPUbr_I01350	MADAR:PPgene:MADAR_I04630
COG0169	E	Shikimate_5-dehydrogenase	7	7	0.692	BGE:CDS:BGE_I01420	BGIGA:CDS:BGIGA_I04860	BOR:CDS:BOR_I01440	BPAA:CDS:BPAA_I04920	BPLAN:CDS:BPLAN_I04990	CPUbr:CDS:CPUbr_I01340	MADAR:CDS:MADAR_I04640
COG0078	E	Ornithine_carbamoyltransferase	7	7	0.835	BGE:CDS:BGE_I03160	BGIGA:CDS:BGIGA_I03180	BOR:CDS:BOR_I03140	BPAA:CDS:BPAA_I03240	BPLAN:CDS:BPLAN_I03270	CPUbr:CDS:CPUbr_I02970	MADAR:CDS:MADAR_I00520
COG1200	L	RecG-like_helicase	7	7	0.684	BGE:CDS:BGE_I01390	BGIGA:CDS:BGIGA_I04890	BOR:CDS:BOR_I01410	BPAA:CDS:BPAA_I04950	BPLAN:CDS:BPLAN_I05020	CPUbr:CDS:CPUbr_I01310	MADAR:CDS:MADAR_I04670
COG0210	L	Superfamily_I_DNA_or_RNA_helicase	7	7	0.633	BGE:CDS:BGE_I01380	BGIGA:CDS:BGIGA_I04900	BOR:CDS:BOR_I01400	BPAA:CDS:BPAA_I04960	BPLAN:CDS:BPLAN_I05030	CPUbr:CDS:CPUbr_I01300	MADAR:CDS:MADAR_I04680
COG0053	P	Divalent_metal_cation_(Fe/Co/Zn/Cd)_transporter	7	7	0.784	BGE:CDS:BGE_I01370	BGIGA:CDS:BGIGA_I04910	BOR:CDS:BOR_I01390	BPAA:CDS:BPAA_I04970	BPLAN:CDS:BPLAN_I05040	CPUbr:CDS:CPUbr_I01290	MADAR:CDS:MADAR_I04690
No-Hit	-	hypothetical	7	7	0.818	BGE:CDS:BGE_I01090	BGIGA:CDS:BGIGA_I05190	BOR:CDS:BOR_I01100	BPAA:CDS:BPAA_I05250	BPLAN:CDS:BPLAN_I05330	CPUbr:CDS:CPUbr_I01010	MADAR:CDS:MADAR_I04980
COG0766	M	UDP-N-acetylglucosamine_enolpyruvyl_transferase	7	7	0.842	BGE:CDS:BGE_I01350	BGIGA:CDS:BGIGA_I04930	BOR:CDS:BOR_I01370	BPAA:CDS:BPAA_I04990	BPLAN:CDS:BPLAN_I05060	CPUbr:CDS:CPUbr_I01270	MADAR:CDS:MADAR_I04710
COG0782	K	Transcription_elongation_factor,_GreA/GreB_family	7	7	0.798	BGE:CDS:BGE_I01340	BGIGA:CDS:BGIGA_I04940	BOR:CDS:BOR_I01350	BPAA:CDS:BPAA_I05000	BPLAN:CDS:BPLAN_I05080	CPUbr:CDS:CPUbr_I01260	MADAR:CDS:MADAR_I04730
COG0537	FGR	Diadenosine_tetraphosphate_(Ap4A)_hydrolase_or_other_HIT_family_hydrolase	7	7	0.783	BGE:CDS:BGE_I01330	BGIGA:CDS:BGIGA_I04950	BOR:CDS:BOR_I01340	BPAA:CDS:BPAA_I05010	BPLAN:CDS:BPLAN_I05090	CPUbr:CDS:CPUbr_I01250	MADAR:CDS:MADAR_I04740
COG1521	H	Pantothenate_kinase_type_III	7	7	0.841	BGE:CDS:BGE_I01320	BGIGA:CDS:BGIGA_I04960	BOR:CDS:BOR_I01330	BPAA:CDS:BPAA_I05020	BPLAN:CDS:BPLAN_I05100	CPUbr:CDS:CPUbr_I01240	MADAR:CDS:MADAR_I04750
COG0596	HR	Pimeloyl-ACP_methyl_ester_carboxylesterase	7	7	0.614	BGE:CDS:BGE_I01310	BGIGA:CDS:BGIGA_I04970	BOR:CDS:BOR_I01320	BPAA:CDS:BPAA_I05030	BPLAN:CDS:BPLAN_I05110	CPUbr:CDS:CPUbr_I01230	MADAR:CDS:MADAR_I04760
COG0212	H	5-formyltetrahydrofolate_cyclo-ligase	7	7	0.669	BGE:CDS:BGE_I01300	BGIGA:CDS:BGIGA_I04980	BOR:CDS:BOR_I01310	BPAA:CDS:BPAA_I05040	BPLAN:CDS:BPLAN_I05120	CPUbr:PPgene:CPUbr_I01220	MADAR:PPgene:MADAR_I04770
COG0750	OK	Membrane-associated_protease_RseP,_regulator_of_RpoE_activity	7	7	0.814	BGE:CDS:BGE_I01290	BGIGA:CDS:BGIGA_I04990	BOR:CDS:BOR_I01300	BPAA:CDS:BPAA_I05050	BPLAN:CDS:BPLAN_I05130	CPUbr:CDS:CPUbr_I01210	MADAR:CDS:MADAR_I04780
COG1918	P	Fe2+_transport_system_protein_FeoA	7	7	0.854	BGE:CDS:BGE_I01280	BGIGA:CDS:BGIGA_I05000	BOR:CDS:BOR_I01290	BPAA:CDS:BPAA_I05060	BPLAN:CDS:BPLAN_I05140	CPUbr:CDS:CPUbr_I01200	MADAR:CDS:MADAR_I04790
COG0236	IQ	Acyl_carrier_protein	7	7	0.777	BGE:CDS:BGE_I00780	BGIGA:CDS:BGIGA_I05500	BOR:CDS:BOR_I00790	BPAA:CDS:BPAA_I05550	BPLAN:CDS:BPLAN_I05630	CPUbr:CDS:CPUbr_I00700	MADAR:CDS:MADAR_I05280
COG0061	F	NAD_kinase	7	7	0.851	BGE:CDS:BGE_I00860	BGIGA:CDS:BGIGA_I05420	BOR:CDS:BOR_I00870	BPAA:CDS:BPAA_I05480	BPLAN:CDS:BPLAN_I05550	CPUbr:CDS:CPUbr_I00780	MADAR:CDS:MADAR_I05200
COG1577	I	Mevalonate_kinase	7	7	0.679	BGE:CDS:BGE_I00850	BGIGA:CDS:BGIGA_I05430	BOR:CDS:BOR_I00860	BPAA:PPgene:BPAA_I05490	BPLAN:CDS:BPLAN_I05560	CPUbr:CDS:CPUbr_I00770	MADAR:PPgene:MADAR_I05210
COG1187	J	16S_rRNA_U516_pseudouridylate_synthase_RsuA_and_related_23S_rRNA_U2605,_pseudouridylate_synthases	7	7	0.699	BGE:CDS:BGE_I00840	BGIGA:CDS:BGIGA_I05440	BOR:CDS:BOR_I00850	BPAA:CDS:BPAA_I05500	BPLAN:CDS:BPLAN_I05570	CPUbr:CDS:CPUbr_I00760	MADAR:CDS:MADAR_I05220
COG0757	E	3-dehydroquinate_dehydratase	7	7	0.826	BGE:CDS:BGE_I00830	BGIGA:CDS:BGIGA_I05450	BOR:CDS:BOR_I00840	BPAA:CDS:BPAA_I05510	BPLAN:CDS:BPLAN_I05580	CPUbr:CDS:CPUbr_I00750	MADAR:CDS:MADAR_I05230
COG0218	D	GTP-binding_protein_EngB_required_for_normal_cell_division	6	6	0.620	BGE:CDS:BGE_I00820	BGIGA:CDS:BGIGA_I05460	BOR:CDS:BOR_I00830	*	BPLAN:CDS:BPLAN_I05590	CPUbr:CDS:CPUbr_I00740	MADAR:CDS:MADAR_I05240
